Çalışan Sicil No;Gösterge Adı;Periyot;Planlanan;Gerçekleşen;Sonuç 
100626;TSMv1 - Gelişim İndeksi;1;104,82;109,8;104,75
100671;TSMv1 - Gelişim İndeksi;1;104,82;97,55;93,07
100332;TSMv1 - Gelişim İndeksi;1;104,82;109,64;104,6
100122;TSMv1 - Gelişim İndeksi;1;104,82;103,34;98,59
100416;TSMv1 - Gelişim İndeksi;1;104,82;112,02;106,87
100361;TSMv1 - Gelişim İndeksi;1;104,82;97,74;93,25
100466;TSMv1 - Gelişim İndeksi;1;104,82;103,51;98,76
101575;TSMv1 - Gelişim İndeksi;1;104,82;99,16;94,6
101814;TSMv1 - Gelişim İndeksi;1;104,82;135,6;129,37
100086;TSMv1 - Gelişim İndeksi;1;104,82;80,37;76,67
100444;TSMv1 - Gelişim İndeksi;1;104,82;85,1;81,19
100462;TSMv1 - Gelişim İndeksi;1;104,82;109,31;104,29
100574;TSMv1 - Gelişim İndeksi;1;104,82;129,12;123,19
100467;TSMv1 - Gelişim İndeksi;1;104,82;104,53;99,72
100707;TSMv1 - Gelişim İndeksi;1;104,82;120,21;114,68
100247;TSMv1 - Gelişim İndeksi;1;104,82;117,92;112,5
100769;TSMv1 - Gelişim İndeksi;1;104,82;111,52;106,39
101654;TSMv1 - Gelişim İndeksi;1;104,82;107,65;102,71
100119;TSMv1 - Gelişim İndeksi;1;104,82;100,96;96,32
100270;TSMv1 - Gelişim İndeksi;1;104,82;118,82;113,36
100104;TSMv1 - Gelişim İndeksi;1;104,82;117,63;112,22
100336;TSMv1 - Gelişim İndeksi;1;104,82;107,79;102,84
100450;TSMv1 - Gelişim İndeksi;1;104,82;115,01;109,73
100711;TSMv1 - Gelişim İndeksi;1;104,82;94,27;89,94
100465;TSMv1 - Gelişim İndeksi;1;104,82;106,53;101,63
100662;TSMv1 - Gelişim İndeksi;1;104,82;109,97;104,91
100457;TSMv1 - Gelişim İndeksi;1;104,82;114,93;109,65
100796;TSMv1 - Gelişim İndeksi;1;104,82;118,4;112,96
101463;TSMv1 - Gelişim İndeksi;1;104,82;91,65;87,44
101826;TSMv1 - Gelişim İndeksi;1;104,82;92,52;88,26
102001;TSMv1 - Gelişim İndeksi;1;104,82;88,82;84,74
100506;TSMv1 - Gelişim İndeksi;1;104,82;113,33;108,12
100324;TSMv1 - Gelişim İndeksi;1;104,82;111,36;106,24
100538;TSMv1 - Gelişim İndeksi;1;104,82;129,57;123,62
100517;TSMv1 - Gelişim İndeksi;1;104,82;108,81;103,81
100449;TSMv1 - Gelişim İndeksi;1;104,82;106,53;101,63
101251;TSMv1 - Gelişim İndeksi;1;104,82;116,8;111,43
101558;TSMv1 - Gelişim İndeksi;1;104,82;101,04;96,39
101921;TSMv1 - Gelişim İndeksi;1;104,82;117,24;111,85
101929;TSMv1 - Gelişim İndeksi;1;104,82;93,91;89,59
100438;TSMv1 - Gelişim İndeksi;1;104,82;90,9;86,72
100496;TSMv1 - Gelişim İndeksi;1;104,82;119,67;114,17
100196;TSMv1 - Gelişim İndeksi;1;104,82;103,67;98,91
100720;TSMv1 - Gelişim İndeksi;1;104,82;117,41;112,01
100947;TSMv1 - Gelişim İndeksi;1;104,82;115,35;110,05
100948;TSMv1 - Gelişim İndeksi;1;104,82;110,21;105,14
101448;TSMv1 - Gelişim İndeksi;1;104,82;99,04;94,49
101467;TSMv1 - Gelişim İndeksi;1;104,82;148,23;141,41
101549;TSMv1 - Gelişim İndeksi;1;104,82;95,82;91,42
101692;TSMv1 - Gelişim İndeksi;1;104,82;136,98;130,68
101804;TSMv1 - Gelişim İndeksi;1;104,82;119,15;113,68
101805;TSMv1 - Gelişim İndeksi;1;104,82;134,14;127,97
101912;TSMv1 - Gelişim İndeksi;1;104,82;108,9;103,89
101915;TSMv1 - Gelişim İndeksi;1;104,82;98,06;93,55
102007;TSMv1 - Gelişim İndeksi;1;104,82;73,42;70,05
100581;TSMv1 - Gelişim İndeksi;1;104,82;88,61;84,53
100595;TSMv1 - Gelişim İndeksi;1;104,82;101,33;96,67
100272;TSMv1 - Gelişim İndeksi;1;104,82;104,31;99,52
100293;TSMv1 - Gelişim İndeksi;1;104,82;116,84;111,47
100358;TSMv1 - Gelişim İndeksi;1;104,82;113,24;108,04
100356;TSMv1 - Gelişim İndeksi;1;104,82;92,84;88,57
100864;TSMv1 - Gelişim İndeksi;1;104,82;104,78;99,97
101273;TSMv1 - Gelişim İndeksi;1;104,82;97,96;93,45
101655;TSMv1 - Gelişim İndeksi;1;104,82;122,47;116,84
101656;TSMv1 - Gelişim İndeksi;1;104,82;114,58;109,31
101798;TSMv1 - Gelişim İndeksi;1;104,82;133,1;126,98
101854;TSMv1 - Gelişim İndeksi;1;104,82;98,3;93,78
101996;TSMv1 - Gelişim İndeksi;1;104,82;97,74;93,25
102005;TSMv1 - Gelişim İndeksi;1;104,82;67,98;64,86
100240;TSMv1 - Gelişim İndeksi;1;104,82;111,66;106,53
100239;TSMv1 - Gelişim İndeksi;1;104,82;98,35;93,83
100071;TSMv1 - Gelişim İndeksi;1;104,82;111,54;106,41
100329;TSMv1 - Gelişim İndeksi;1;104,82;101,63;96,96
100360;TSMv1 - Gelişim İndeksi;1;104,82;97,75;93,26
101791;TSMv1 - Gelişim İndeksi;1;104,82;148,29;141,48
101908;TSMv1 - Gelişim İndeksi;1;104,82;66,07;63,04
101931;TSMv1 - Gelişim İndeksi;1;104,82;82,75;78,94
102000;TSMv1 - Gelişim İndeksi;1;104,82;119,86;114,35
100103;TSMv1 - Gelişim İndeksi;1;104,82;93,15;88,87
100250;TSMv1 - Gelişim İndeksi;1;104,82;95,13;90,75
100670;TSMv1 - Gelişim İndeksi;1;104,82;92,52;88,26
100342;TSMv1 - Gelişim İndeksi;1;104,82;103,63;98,87
100487;TSMv1 - Gelişim İndeksi;1;104,82;92,91;88,64
100936;TSMv1 - Gelişim İndeksi;1;104,82;79,75;76,08
101460;TSMv1 - Gelişim İndeksi;1;104,82;105,36;100,52
101659;TSMv1 - Gelişim İndeksi;1;104,82;98,12;93,61
101806;TSMv1 - Gelişim İndeksi;1;104,82;103,78;99,01
101808;TSMv1 - Gelişim İndeksi;1;104,82;89,12;85,03
101917;TSMv1 - Gelişim İndeksi;1;104,82;112,72;107,54
101919;TSMv1 - Gelişim İndeksi;1;104,82;83,02;79,2
101920;TSMv1 - Gelişim İndeksi;1;104,82;100,56;95,94
101693;TSMv1 - Gelişim İndeksi;1;102,66;95,77;93,29
100461;TSMv1 - Gelişim İndeksi;1;102,66;99,72;97,14
101982;TSMv1 - Gelişim İndeksi;1;102,66;83,38;81,22
100950;TSMv1 - Gelişim İndeksi;1;102,66;107,43;104,64
101923;TSMv1 - Gelişim İndeksi;1;102,66;110,09;107,24
100422;TSMv1 - Gelişim İndeksi;1;102,66;114,85;111,87
100522;TSMv1 - Gelişim İndeksi;1;102,66;125,7;122,44
100355;TSMv1 - Gelişim İndeksi;1;102,66;99,19;96,62
100893;TSMv1 - Gelişim İndeksi;1;102,66;106,93;104,16
100650;TSMv1 - Gelişim İndeksi;1;102,66;92,54;90,14
100540;TSMv1 - Gelişim İndeksi;1;102,66;99,69;97,1
100584;TSMv1 - Gelişim İndeksi;1;102,66;98,59;96,03
101568;TSMv1 - Gelişim İndeksi;1;102,66;95,07;92,61
100618;TSMv1 - Gelişim İndeksi;1;102,66;88,17;85,88
100269;TSMv1 - Gelişim İndeksi;1;102,66;98,53;95,98
101796;TSMv1 - Gelişim İndeksi;1;102,66;98,87;96,31
100501;TSMv1 - Gelişim İndeksi;1;102,66;108,65;105,83
101797;TSMv1 - Gelişim İndeksi;1;102,66;103,57;100,89
100509;TSMv1 - Gelişim İndeksi;1;102,66;94,94;92,48
101909;TSMv1 - Gelişim İndeksi;1;102,66;109,27;106,44
101914;TSMv1 - Gelişim İndeksi;1;102,66;79,49;77,43
101276;TSMv1 - Gelişim İndeksi;1;102,66;109,99;107,14
100579;TSMv1 - Gelişim İndeksi;1;102,66;93,97;91,54
101817;TSMv1 - Gelişim İndeksi;1;102,66;103,8;101,11
100686;TSMv1 - Gelişim İndeksi;1;102,66;101,92;99,28
101924;TSMv1 - Gelişim İndeksi;1;102,66;89,39;87,07
101818;TSMv1 - Gelişim İndeksi;1;102,66;97;94,48
100674;TSMv1 - Gelişim İndeksi;1;102,66;109,14;106,31
100298;TSMv1 - Gelişim İndeksi;1;102,66;115,35;112,36
100357;TSMv1 - Gelişim İndeksi;1;102,66;100,3;97,7
100766;TSMv1 - Gelişim İndeksi;1;102,66;96,58;94,07
101323;TSMv1 - Gelişim İndeksi;1;102,66;106,66;103,9
101975;TSMv1 - Gelişim İndeksi;1;102,66;91,57;89,19
101661;TSMv1 - Gelişim İndeksi;1;102,66;101,16;98,54
101020;TSMv1 - Gelişim İndeksi;1;102,66;100,27;97,67
100335;TSMv1 - Gelişim İndeksi;1;102,66;105,63;102,89
101660;TSMv1 - Gelişim İndeksi;1;102,66;125,33;122,08
100585;TSMv1 - Gelişim İndeksi;1;102,66;89,75;87,43
101930;TSMv1 - Gelişim İndeksi;1;102,66;127,59;124,28
101841;TSMv1 - Gelişim İndeksi;1;102,66;124,41;121,19
101810;TSMv1 - Gelişim İndeksi;1;102,66;99,17;96,6
101954;TSMv1 - Gelişim İndeksi;1;102,66;82,1;79,97
100209;TSMv1 - Gelişim İndeksi;1;102,66;100,71;98,1
101840;TSMv1 - Gelişim İndeksi;1;102,66;88,73;86,43
100328;TSMv1 - Gelişim İndeksi;1;102,66;116,41;113,39
100658;TSMv1 - Gelişim İndeksi;1;102,66;105,04;102,32
100456;TSMv1 - Gelişim İndeksi;1;102,66;94,81;92,36
100525;TSMv1 - Gelişim İndeksi;1;102,66;100,02;97,43
101925;TSMv1 - Gelişim İndeksi;1;102,66;101,65;99,02
100661;TSMv1 - Gelişim İndeksi;1;102,66;97,83;95,3
100204;TSMv1 - Gelişim İndeksi;1;102,66;105,54;102,81
101279;TSMv1 - Gelişim İndeksi;1;102,66;93,29;90,87
100253;TSMv1 - Gelişim İndeksi;1;102,66;95,25;92,78
101663;TSMv1 - Gelişim İndeksi;1;102,66;108,78;105,96
101906;TSMv1 - Gelişim İndeksi;1;102,66;102,13;99,48
100713;TSMv1 - Gelişim İndeksi;1;102,66;110,56;107,69
101329;TSMv1 - Gelişim İndeksi;1;102,66;135,08;131,58
101264;TSMv1 - Gelişim İndeksi;1;102,66;109,32;106,48
101547;TSMv1 - Gelişim İndeksi;1;102,66;121,4;118,25
100392;TSMv1 - Gelişim İndeksi;1;102,66;103,88;101,19
101829;TSMv1 - Gelişim İndeksi;1;102,66;127,87;124,55
101269;TSMv1 - Gelişim İndeksi;1;102,66;107,05;104,28
101664;TSMv1 - Gelişim İndeksi;1;102,66;106,38;103,62
101267;TSMv1 - Gelişim İndeksi;1;102,66;106,11;103,36
101932;TSMv1 - Gelişim İndeksi;1;102,66;99,14;96,57
101933;TSMv1 - Gelişim İndeksi;1;102,66;99,35;96,77
101270;TSMv1 - Gelişim İndeksi;1;102,66;105,8;103,05
101023;TSMv1 - Gelişim İndeksi;1;102,66;120,19;117,08
100528;TSMv1 - Gelişim İndeksi;1;102,66;109,5;106,66
100333;TSMv1 - Gelişim İndeksi;1;102,66;94,85;92,39
100460;TSMv1 - Gelişim İndeksi;1;102,66;97,5;94,97
100515;TSMv1 - Gelişim İndeksi;1;102,66;103,89;101,19
101794;TSMv1 - Gelişim İndeksi;1;102,66;111,26;108,37
100383;TSMv1 - Gelişim İndeksi;1;102,66;98,51;95,96
100718;TSMv1 - Gelişim İndeksi;1;102,66;112,36;109,44
100862;TSMv1 - Gelişim İndeksi;1;102,66;117,88;114,82
100242;TSMv1 - Gelişim İndeksi;1;102,66;94,21;91,77
100201;TSMv1 - Gelişim İndeksi;1;102,66;105,94;103,19
101911;TSMv1 - Gelişim İndeksi;1;102,66;101,41;98,78
100668;TSMv1 - Gelişim İndeksi;1;102,66;95,75;93,26
101562;TSMv1 - Gelişim İndeksi;1;102,66;105,53;102,79
100529;TSMv1 - Gelişim İndeksi;1;102,66;114,1;111,14
100379;TSMv1 - Gelişim İndeksi;1;102,66;106,89;104,12
100322;TSMv1 - Gelişim İndeksi;1;102,66;109,36;106,52
101666;TSMv1 - Gelişim İndeksi;1;102,66;112,53;109,61
100502;TSMv1 - Gelişim İndeksi;1;102,66;108,81;105,99
100138;TSMv1 - Gelişim İndeksi;1;102,66;125,27;122,02
100675;TSMv1 - Gelişim İndeksi;1;102,66;99,12;96,55
101816;TSMv1 - Gelişim İndeksi;1;102,66;109,46;106,63
101482;TSMv1 - Gelişim İndeksi;1;141,93;171,46;120,8
100248;TSMv1 - Gelişim İndeksi;1;141,93;159,93;112,68
100592;TSMv1 - Gelişim İndeksi;1;141,93;184,99;130,33
101824;TSMv1 - Gelişim İndeksi;1;141,93;187,81;132,32
100669;TSMv1 - Gelişim İndeksi;1;141,93;158,42;111,62
100341;TSMv1 - Gelişim İndeksi;1;141,93;133,59;94,12
100121;TSMv1 - Gelişim İndeksi;1;141,93;153,85;108,39
100527;TSMv1 - Gelişim İndeksi;1;141,93;127,26;89,66
100463;TSMv1 - Gelişim İndeksi;1;141,93;147,99;104,26
101483;TSMv1 - Gelişim İndeksi;1;141,93;146,7;103,36
100166;TSMv1 - Gelişim İndeksi;1;141,93;133,34;93,94
100079;TSMv1 - Gelişim İndeksi;1;141,93;123,37;86,92
100244;TSMv1 - Gelişim İndeksi;1;141,93;115,66;81,49
101696;TSMv1 - Gelişim İndeksi;1;141,93;147,74;104,09
101487;TSMv1 - Gelişim İndeksi;1;141,93;119,64;84,29
100323;TSMv1 - Gelişim İndeksi;1;141,93;127,46;89,8
100799;TSMv1 - Gelişim İndeksi;1;141,93;151,43;106,69
101553;TSMv1 - Gelişim İndeksi;1;141,93;200,89;141,54
100288;TSMv1 - Gelişim İndeksi;1;141,93;125,04;88,1
100577;TSMv1 - Gelişim İndeksi;1;141,93;147,18;103,69
100292;TSMv1 - Gelişim İndeksi;1;141,93;118,98;83,83
100102;TSMv1 - Gelişim İndeksi;1;141,93;133,72;94,21
101490;TSMv1 - Gelişim İndeksi;1;141,93;166,24;117,13
101667;TSMv1 - Gelişim İndeksi;1;141,93;163,14;114,94
100321;TSMv1 - Gelişim İndeksi;1;141,93;145,39;102,44
100195;TSMv1 - Gelişim İndeksi;1;141,93;152,83;107,68
100453;TSMv1 - Gelişim İndeksi;1;141,93;239,07;168,44
101668;TSMv1 - Gelişim İndeksi;1;141,93;133,51;94,06
100265;TSMv1 - Gelişim İndeksi;1;141,93;130,57;91,99
100514;TSMv1 - Gelişim İndeksi;1;141,93;151,38;106,66
101669;TSMv1 - Gelişim İndeksi;1;141,93;136,58;96,23
100194;TSMv1 - Gelişim İndeksi;1;141,93;125,97;88,76
100101;TSMv1 - Gelişim İndeksi;1;141,93;141,58;99,75
100797;TSMv1 - Gelişim İndeksi;1;141,93;175,35;123,54
100378;TSMv1 - Gelişim İndeksi;1;105,4;111,79;106,05
101811;TSMv1 - Gelişim İndeksi;1;105,4;89,77;85,16
101972;TSMv1 - Gelişim İndeksi;1;105,4;101,99;96,76
101253;TSMv1 - Gelişim İndeksi;1;105,4;101,01;95,83
101940;TSMv1 - Gelişim İndeksi;1;105,4;108,11;102,56
101832;TSMv1 - Gelişim İndeksi;1;105,4;122,77;116,48
101842;TSMv1 - Gelişim İndeksi;1;105,4;130,05;123,38
100596;TSMv1 - Gelişim İndeksi;1;105,4;112,58;106,8
101943;TSMv1 - Gelişim İndeksi;1;105,4;103,17;97,88
101945;TSMv1 - Gelişim İndeksi;1;105,4;91,23;86,55
101974;TSMv1 - Gelişim İndeksi;1;105,4;89,82;85,21
101691;TSMv1 - Gelişim İndeksi;1;105,4;129,43;122,79
101821;TSMv1 - Gelişim İndeksi;1;105,4;102,07;96,83
